Name,Country,Query_Name,Latitude,Longitude,
Bouee Fort-Mahon,France,BOUEE_FORT-MAHON,,,
Bouee Fromentine,France,BOUEE_FROMENTINE,46.88917499999999,-2.140027,"Harbor.create(name: ""Bouee Fromentine"", lat: 46.88917499999999, lng: -2.140027, query: ""BOUEE_FROMENTINE"")"
Boulogne-sur-Mer,France,BOULOGNE-SUR-MER,50.725231,1.613334,"Harbor.create(name: ""Boulogne-sur-Mer"", lat: 50.725231, lng: 1.613334, query: ""BOULOGNE-SUR-MER"")"
Bourail,France (Nouvelle-Caledonie),BOURAIL,-21.5669347,165.4985521,"Harbor.create(name: ""Bourail"", lat: -21.5669347, lng: 165.4985521, query: ""BOURAIL"")"
Bowen,Australie,BOWEN,-20.0014803,148.2262176,"Harbor.create(name: ""Bowen"", lat: -20.0014803, lng: 148.2262176, query: ""BOWEN"")"
Bremerhaven,Allemagne,BREMERHAVEN,53.5395845,8.5809424,"Harbor.create(name: ""Bremerhaven"", lat: 53.5395845, lng: 8.5809424, query: ""BREMERHAVEN"")"
Bremerton,Etats-Unis,BREMERTON,47.5650067,-122.6269768,"Harbor.create(name: ""Bremerton"", lat: 47.5650067, lng: -122.6269768, query: ""BREMERTON"")"
Brest,France,BREST,48.390394,-4.486076,"Harbor.create(name: ""Brest"", lat: 48.390394, lng: -4.486076, query: ""BREST"")"
Bridgeport,Etats-Unis,BRIDGEPORT,41.1865478,-73.19517669999999,"Harbor.create(name: ""Bridgeport"", lat: 41.1865478, lng: -73.19517669999999, query: ""BRIDGEPORT"")"
Brignogan,France,BRIGNOGAN,48.664062,-4.326471,"Harbor.create(name: ""Brignogan"", lat: 48.664062, lng: -4.326471, query: ""BRIGNOGAN"")"
Brindisi,Italie,BRINDISI,40.6327278,17.9417616,"Harbor.create(name: ""Brindisi"", lat: 40.6327278, lng: 17.9417616, query: ""BRINDISI"")"
Brisbane,Australie,BRISBANE_BAR,-27.4697707,153.0251235,"Harbor.create(name: ""Brisbane"", lat: -27.4697707, lng: 153.0251235, query: ""BRISBANE_BAR"")"
Brooklyn,Etats-Unis,BROOKLYN,40.6781784,-73.9441579,"Harbor.create(name: ""Brooklyn"", lat: 40.6781784, lng: -73.9441579, query: ""BROOKLYN"")"
Broome,Australie,BROOME,-17.9614336,122.235852,"Harbor.create(name: ""Broome"", lat: -17.9614336, lng: 122.235852, query: ""BROOME"")"
Bubaque,Guinee-Bissau,BUBAQUE,11.2987384,-15.8378366,"Harbor.create(name: ""Bubaque"", lat: 11.2987384, lng: -15.8378366, query: ""BUBAQUE"")"
Buenaventura,Colombie,BUENAVENTURA,3.8830471,-77.01972119999999,"Harbor.create(name: ""Buenaventura"", lat: 3.8830471, lng: -77.01972119999999, query: ""BUENAVENTURA"")"
Buenos Aires,Argentine,BUENOS_AIRES,-34.6036844,-58.3815591,"Harbor.create(name: ""Buenos Aires"", lat: -34.6036844, lng: -58.3815591, query: ""BUENOS_AIRES"")"
Bugatti Reef,Australie,BUGATTI_REEF,-20.1005119,150.3174591,"Harbor.create(name: ""Bugatti Reef"", lat: -20.1005119, lng: 150.3174591, query: ""BUGATTI_REEF"")"
Bunbury,Australie,BUNBURY,-33.325636,115.6396494,"Harbor.create(name: ""Bunbury"", lat: -33.325636, lng: 115.6396494, query: ""BUNBURY"")"
Burnie,Australie,BURNIE,-41.0528583,145.9052168,"Harbor.create(name: ""Burnie"", lat: -41.0528583, lng: 145.9052168, query: ""BURNIE"")"
Bushehr,Iran,BUSHEHR,28.9233837,50.820314,"Harbor.create(name: ""Bushehr"", lat: 28.9233837, lng: 50.820314, query: ""BUSHEHR"")"
Busum,Allemagne,BUSUM,54.1346218,8.858591299999999,"Harbor.create(name: ""Busum"", lat: 54.1346218, lng: 8.858591299999999, query: ""BUSUM"")"
Cabedelo,Bresil,CABEDELO,-6.987721499999999,-34.8287221,"Harbor.create(name: ""Cabedelo"", lat: -6.987721499999999, lng: -34.8287221, query: ""CABEDELO"")"
